Iteration,Fitness,Chromosomes
0,99999999,[]
50,46084976.92,[153.74, -170.44, -185.6, 297.75, -113.55, -128.39, 33.09, 69.31, 143.06, 35.98, -215.13, -151.52, 38.65, -9.05, 167.99, 96.43, 113.66, 60.67, -193.8, -164.4, -111.1, -73.47, 209.51, 36.96, -68.35, 10.42, 195.58, 159.8, -43.45, -264.96, -22.4, -12.01, -224.75, -211.51, 53.62, -56.91, 131.39, 191.27, 181.9, -79.48, -242.44, -82.77, 37.5, 57.36, -10.17, 87.77, 32.9, -66.29, 167.01, 29.89, -25.95, -53.93, -96.7, 133.2, -79.88, -186.87, -130.17, -78.91, -175.25, -1.58, -31.16, 48.22, -67.43, -67.63, 16.67, 11.78, 70.67, 97.24, -132.41, 83.42, -141.71, 106.64, 35.84, -47.01, 26.02, 83.72, 16.65, -29.46, -99.39, -2.32, 88.4, 13.3, -5.52, -8.85, -40.09, -77.89, 126.21, 132.06, -117.16, -75.2, -83.14, 20.16, -88.2, -17.5, -94.37, -142.06, -4.74, 74.56, 88.64, 15.26]
100,12996546.72,[-63.36, -340.27, -167.04, -248.92, -113.55, -128.39, 33.09, 69.31, 143.06, 35.98, -84.31, -73.91, 38.65, -24.71, 167.99, 96.43, 113.66, 60.67, 20.65, 11.44, -25.62, 106.97, -4.53, 36.96, -68.35, 10.42, 195.58, -50.42, -43.45, -24.69, -22.4, 124.47, -17.58, 82.98, 53.62, -14.42, 131.39, -87.82, 7.14, -79.48, 28.64, -82.77, 37.5, 57.36, 17.97, 5.91, 32.9, -66.29, 60.73, 29.89, -25.95, -53.93, -96.7, 67.97, 36.66, -37.34, -22.93, -10.06, -72.74, -1.58, -31.16, 48.22, 25.38, -67.63, 16.67, 11.78, 70.67, -53.3, -81.16, -50.67, -108.82, 4.06, 35.84, -47.01, 26.02, 83.72, 16.65, -29.46, -12.48, -2.32, 28.07, 13.3, -5.52, -8.85, -40.09, -16.78, -20.38, 31.66, 8.69, -75.2, -83.14, 20.16, 7.78, -17.5, -11.26, 27.34, -4.74, 40.2, 3.84, 15.26]
150,4973375.35,[-136.74, -122.48, -176.86, -117.7, 82.24, -22.65, -73.37, 81.53, 106.15, 35.98, -84.31, -47.51, 28.23, -24.71, -46.53, -88.93, 9.52, 60.67, 20.65, 11.44, -25.62, 106.97, -4.53, 36.96, -68.35, 10.42, 0.79, -50.42, -43.45, -24.69, -22.4, 32.56, -17.58, 9.97, 53.62, -14.42, -34.5, -87.82, 7.14, 34.38, 28.64, 9.77, 37.5, 57.36, 17.97, 5.91, 9.53, -66.29, 60.73, 29.89, -25.95, -53.93, 13.96, 67.97, 36.66, -37.34, -22.93, -10.06, 51.96, -1.58, -31.16, 0.58, 25.38, -20.13, 16.67, 11.78, 70.67, -53.3, -7.89, -25.06, 36.1, -6.51, 35.84, -47.01, 26.02, 42.68, 16.65, -29.46, -12.48, -2.32, -8.24, 13.3, -5.52, -8.85, 3.93, -16.78, -20.38, 6.31, 8.69, 25.54, 22.9, 20.16, 7.78, -17.5, -11.26, -6.48, -4.74, 11.51, 3.84, 15.26]
200,2336749.06,[381.88, 45.04, 108.36, -26.69, -113.6, 45.31, -29.47, 69.31, -92.22, 35.98, -44.09, -15.04, 38.65, -24.71, -46.53, -88.93, 9.52, 60.67, 20.65, 11.44, -25.62, 2.93, -4.53, 36.96, 31.36, 10.42, 0.79, 35.19, -43.45, -24.69, -22.4, 32.56, -17.58, 9.97, -18.51, -14.42, -34.5, -2.35, 7.14, 34.38, 28.64, 9.77, -3.33, -23.89, 17.97, 5.91, 9.53, -30.83, 38.43, 29.89, -25.95, -5.57, 13.96, -13.31, 36.66, 2.28, -22.93, -10.06, 22.01, -1.58, -31.16, 0.58, 25.38, -20.13, 16.67, 11.78, -54.95, -24.71, -7.89, -25.06, 36.1, 4.06, 35.84, -4.73, 26.02, 18.26, 16.65, 10.72, -9.14, -2.32, -8.24, 13.3, -5.52, -8.85, 3.93, -16.78, -20.38, 1.29, 8.69, -19.02, 22.9, 13.7, 7.78, -17.5, -11.26, -6.48, -4.74, 11.51, 3.84, 10.66]
250,1254121.72,[-419.38, 111.14, -19.28, -4.12, 63.95, -23.0, 32.17, 16.37, 22.01, 35.98, 16.23, -15.04, 16.59, -13.72, -46.53, -20.28, 9.52, 60.67, 20.65, 11.44, -25.62, 2.93, -4.53, -1.85, 31.36, 10.42, 0.79, -8.96, 6.63, -24.69, -22.4, 32.56, -17.58, 9.97, -18.51, -14.42, -34.5, -2.35, 7.14, 34.38, 28.64, 9.77, -3.33, -23.89, 17.97, 5.91, 9.53, -5.62, -21.5, -12.88, -25.95, -5.57, 13.96, -0.7, -9.97, 2.28, -22.93, -10.06, 22.01, -1.58, -31.16, 0.58, -11.24, -8.15, 16.67, 11.78, 32.79, -24.71, -7.89, 2.34, -22.39, -1.46, 14.75, -4.73, 26.02, 18.26, 16.65, 10.72, -9.14, -2.32, -6.14, 13.3, -5.52, 4.34, 2.05, -8.12, -20.38, 1.29, 8.69, -19.02, 8.83, 13.7, 7.78, -17.5, -0.38, -6.48, -4.74, -1.29, 3.84, 10.66]
300,780006.48,[466.8, 38.11, 32.86, -34.54, 63.95, 51.96, 4.62, 16.37, 22.01, 35.98, -44.09, -15.04, 16.59, -13.72, -46.53, 11.69, 9.52, 22.63, 20.65, 11.44, -25.62, 2.93, -4.53, 8.1, 31.36, 10.42, 0.79, -8.96, 6.63, -24.69, -22.4, 32.56, -17.58, 9.97, -18.51, -14.42, -21.6, -2.35, 7.14, -1.02, 6.12, 9.77, -3.33, -12.99, 17.97, 5.91, 9.53, -5.62, -21.5, -12.88, -11.07, -5.57, 13.96, -0.7, -9.97, 2.28, -4.67, -10.06, 22.01, -1.58, -31.16, 0.58, -11.24, -8.15, 16.67, -4.94, 21.87, 11.45, -7.89, 2.34, -0.72, -1.46, 14.75, -4.73, 0.37, 18.26, 16.65, 10.72, -9.14, -2.32, -6.14, -2.65, -5.52, 4.34, 2.05, -8.12, -5.33, 1.29, 8.69, 10.68, 8.83, 13.7, 7.78, -2.28, -0.38, -6.48, -4.74, -1.29, 3.84, 10.66]
350,506584.03,[-406.17, 5.82, 38.17, -64.29, 55.03, -23.0, 4.62, 9.82, 22.01, 35.98, 16.23, -15.04, 16.59, -22.44, 18.01, -20.28, 9.52, 12.35, 20.65, 11.44, -25.62, 2.93, -4.53, 8.1, -2.12, 7.88, 0.79, -8.96, 6.63, -17.4, -22.4, 7.62, -17.58, 9.97, -18.51, -14.42, -0.54, -2.35, 7.14, -1.02, 6.12, 9.77, -3.33, -1.63, 17.97, 5.91, 9.53, -5.62, -5.32, 7.75, -11.07, -5.57, -6.71, -0.7, -9.97, 2.28, -4.67, -10.06, 22.01, -1.58, -19.05, 0.58, -11.24, -8.15, -12.01, -4.94, 21.87, 11.45, -7.89, 2.34, 3.76, -1.46, -7.38, -4.73, 0.37, -9.43, 4.26, 6.51, -9.14, -2.32, -6.14, 1.58, -5.52, 4.34, 2.05, -4.29, -5.33, 1.29, 8.69, 10.68, -6.55, 13.7, 7.78, -2.28, -0.38, -6.48, -4.74, -1.29, -1.06, 10.66]
400,356397.07,[-344.38, 15.09, -31.83, -34.54, 1.01, 0.87, -13.04, 16.37, 22.01, 7.15, 16.23, -15.04, 16.59, -13.72, 4.45, 11.69, 9.52, -7.92, 20.65, 11.44, 9.85, 2.93, -4.53, 8.1, -2.12, 10.42, 0.79, -8.96, 6.63, -17.4, 8.01, -5.94, -17.58, 9.97, -14.43, -14.42, -0.54, -2.35, 7.14, -1.02, 6.12, 9.77, -3.33, -1.63, 7.14, 5.91, 9.53, -5.62, -5.32, 7.75, -9.91, -5.57, -6.71, -0.7, -9.97, 2.28, -4.67, -10.06, 0.3, -1.58, -19.05, 0.58, -11.24, -8.15, -6.59, -4.94, 21.87, 11.45, -7.89, 2.34, 3.76, -1.46, 5.41, -4.73, 0.37, -9.43, 4.26, -0.93, -9.14, -2.32, -6.14, 1.58, -5.52, 4.34, 2.05, 0.15, -5.33, 1.29, 8.69, 10.68, -6.55, 8.07, 7.78, -2.28, -0.38, -6.48, -4.74, -1.29, -1.06, -0.21]
450,290968.24,[-436.28, -11.78, 32.86, -4.12, 1.01, 0.87, 4.62, 16.37, 22.01, 7.15, 16.23, -15.04, 12.11, -13.72, 4.45, 11.69, 9.52, -7.92, 12.1, 11.44, -8.31, 2.93, -4.53, 8.1, -2.12, 1.72, 0.79, -8.96, 6.63, -17.4, 8.01, -5.94, -17.58, 9.97, 1.42, -14.42, -0.54, -2.35, 7.14, -1.02, 6.12, 9.77, -3.33, -1.63, 7.14, 5.91, 9.53, -5.62, -5.32, 0.59, -9.91, -2.5, -6.71, -0.7, -9.97, 2.28, 1.75, -10.06, 0.3, -1.58, -19.05, 0.58, -11.24, -8.15, -6.59, 2.93, -15.82, 11.45, 2.87, 2.34, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 3.85, -0.93, -9.14, -2.32, -6.14, 1.58, -5.52, 2.98, 2.05, 0.15, -5.33, 1.29, 8.69, 10.68, -0.11, 8.07, 7.78, -2.28, -0.38, -6.48, -1.67, -1.29, -1.06, -0.21]
500,227449.52,[154.38, -6.91, -31.83, -4.12, 1.01, -12.63, 4.62, 16.37, -4.14, 7.15, 1.19, -15.04, 3.58, -13.72, 4.45, 11.69, 9.52, 4.81, 12.1, 11.44, -8.31, 2.93, -4.53, 8.1, -3.87, 0.4, 0.79, -4.14, 6.63, 14.55, 8.01, -5.94, -17.58, 9.97, 1.42, -14.42, -0.54, -2.35, 7.14, -1.02, -6.46, 9.77, -3.33, -1.63, 7.14, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -6.71, -0.7, -9.97, 2.28, -0.09, -10.06, 0.3, -1.58, -4.62, 0.58, -11.24, -8.15, -6.59, 2.93, -4.94, 11.45, 2.87, 2.34, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 3.85, -0.93, -1.27, -2.32, -6.14, 1.58, -6.02, 2.98, 2.05, 0.15, -5.33, 1.29, 5.2, 10.68, -0.11, 8.07, 4.55, -2.28, -0.38, -6.48, -1.67, -1.29, -1.06, -0.21]
550,171097.98,[-436.28, -11.78, -4.98, -4.12, 1.01, 0.87, 4.62, 16.37, -4.14, 7.15, 1.19, 9.68, 3.58, -13.72, 4.45, 11.69, 9.52, 4.81, 12.1, 11.44, -8.31, 2.93, -4.53, 8.1, -2.12, 0.4, 0.79, -4.14, 6.63, 4.72, 8.01, -5.94, 2.53, 9.97, 1.42, 12.12, -0.54, -2.35, 7.14, -1.02, -6.46, -1.51, -3.33, -1.63, 3.25, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -5.79, -0.7, -9.97, 2.28, -0.09, -6.02, 0.3, -1.58, 3.02, 0.58, -11.24, -8.15, -2.25, 2.93, -4.94, 11.45, 2.87, 2.34, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 3.85, -0.93, -1.27, -2.32, -6.14, 1.58, -6.02, 2.98, 2.05, 0.15, -5.33, 1.29, 5.2, 1.98, -0.11, 3.34, 4.55, -2.55, -0.38, -6.48, -0.99, -1.29, -1.06, -0.21]
600,146095.62,[-159.49, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, 9.82, -4.14, 7.15, 1.19, 9.68, 12.11, -5.7, 4.45, 3.8, -0.46, 4.81, 7.28, 11.44, -8.31, 2.93, -4.53, 8.1, -2.12, 0.4, 0.79, -4.14, 6.63, 4.72, 8.01, -5.94, 2.53, 9.97, 1.42, -0.42, -0.54, -2.35, 7.14, -1.02, -6.46, -1.51, -3.33, -1.63, 3.25, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -5.79, -0.7, -9.97, -0.17, -0.09, -6.02, 0.3, -1.58, 3.02, 0.58, -11.24, 4.45, -2.25, 2.93, -4.94, 11.45, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 3.85, -0.93, -1.27, -2.48, -6.14, 1.58, -6.02, 2.98, 2.05, 0.15, 1.69, 1.29, 5.2, 1.98, -0.11, 3.34, 4.55, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
650,131086.53,[354.9, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, 9.82, -4.14, 7.15, 1.19, 9.68, 12.11, -5.7, 4.45, 0.43, -0.46, 4.81, 0.32, 10.94, -8.31, 2.93, 0.61, 8.1, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 8.01, -5.94, 2.53, -4.6, 1.42, -0.42, -0.54, -2.69, 7.14, -1.02, -3.72, -1.51, -3.33, -1.63, 3.25, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -5.79, -0.48, -9.97, -0.17, -0.09, -6.02, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -4.94, -10.47, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 2.1, -0.93, -1.27, -2.48, -6.14, 1.58, -1.03, 2.98, 2.05, 0.15, 1.69, 1.29, 5.2, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
700,116681.68,[-75.47, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, 9.82, -4.14, 7.15, 1.19, 1.03, -8.05, -5.7, 4.45, 3.8, -0.46, 4.81, 0.32, -2.6, -8.31, 2.93, 0.61, 8.1, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 8.01, -5.94, 2.53, -4.6, 1.42, -0.42, -0.54, -2.69, 7.14, -1.96, -3.72, -1.51, -3.33, -1.63, 3.25, 5.91, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -5.79, -0.48, -9.97, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -10.47, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, 2.1, -0.93, -1.27, -2.48, -6.14, 1.58, -0.78, 2.98, 2.05, 0.15, 1.69, 1.29, 1.35, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
750,96235.22,[117.28, -11.78, -1.76, -4.12, 1.01, 0.87, -0.12, 9.82, -4.14, 7.15, 1.19, 1.03, -8.05, -5.7, 4.45, 3.8, -0.46, 4.81, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 8.01, 0.39, 2.53, 2.02, 1.42, -0.42, -0.54, -2.69, 7.14, -1.96, -2.21, -1.51, -3.33, -1.63, 3.25, 3.68, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, 9.32, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -0.13, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, 2.1, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
800,89031.33,[311.98, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, -6.8, -4.14, 3.72, 1.19, 1.03, -8.05, -5.7, 4.45, 3.8, -0.46, 4.81, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 0.29, 0.39, 2.53, 2.02, 1.42, -0.42, -0.54, -2.69, 5.57, -1.96, -2.21, -1.51, -3.33, -1.63, 3.25, 3.28, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, -6.14, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -0.13, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
850,86761.16,[216.02, -6.91, -4.98, -4.12, 1.01, 0.85, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, -8.05, -5.7, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, -0.91, 0.39, 2.53, 2.02, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, -3.33, -1.63, 3.25, 3.28, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, -6.14, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -0.13, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
900,81732.56,[-358.09, 2.21, -4.98, -4.12, 1.01, 0.85, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, 1.92, -5.7, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 3.39, 4.72, -0.91, 0.39, 2.53, 2.02, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, 0.74, -1.63, 3.25, 3.28, -3.79, 1.73, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, -6.14, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, 0.01, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, 0.08, -1.29, -1.06, -1.85]
950,74952.97,[-2.55, -4.15, -4.98, -4.12, 1.01, -3.38, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, 1.92, -0.72, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -0.12, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 3.39, 4.72, -0.91, 0.39, 2.53, 2.02, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, 0.74, -1.63, 3.25, 3.28, -3.79, 1.73, -0.4, 0.59, -6.13, -2.5, -0.36, -0.6, 3.42, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, 0.01, 2.87, 3.7, 3.76, -1.46, -0.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 0.94, 2.05, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, 0.08, -1.29, -1.06, -1.85]
1000,66680.86,[8.1, -6.91, -4.98, -4.12, 1.01, -3.38, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, 1.92, -0.72, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -0.12, 2.93, 0.61, -3.41, -2.12, 0.4, 0.79, -3.0, 3.39, 4.72, -0.91, 0.39, 2.53, 3.25, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, 0.74, -1.63, 3.25, 3.28, -3.79, 1.73, -0.4, 0.59, -6.13, -2.5, -0.36, -0.6, 3.42, 2.36, -0.09, 1.65, 0.3, -1.58, 3.02, 0.58, -0.65, -0.16, -2.25, 2.93, -3.97, 0.01, 2.87, 3.7, 3.76, -1.46, -0.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 0.94, -0.63, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, 0.08, -1.29, -1.06, -1.85]
